year;co2
257908.07;3
259396.9;3
260894.24;3
261293.92;3
262054.58;3
262817.1;3
264583.76;3
266134.45;3
267007;3
268257.83;3
268995.5;3
269940.47;3
271036.04;3
272149.64;3
273165.83;3
274164.08;3
275154.64;3
276257.72;3
277443;3
278590.91;3
279619.05;3
280558.95;3
281400.74;3
282592.89;3
284434.68;3
285931.32;3
286609.96;3
287443.86;3
287820.05;3
288286.43;3
290184.5;3
290863.79;3
291562.87;3
292818.31;3
293650.74;3
294455.29;3
295364.23;3
296828.87;3
298704.62;3
299376.28;3
300115.87;3
301025.62;3
302084.19;3
303116;3
304100.92;3
305099.81;3
305778.15;3
306581.12;3
307463.27;3
308325.7;3
309423.73;3
310010.98;3
310776.1;3
311670.03;3
312593.43;3
313343.13;3
314051.85;3
314836.21;3
315657.52;3
316450.72;3
317149.87;3
317932.55;3
318852.6;3
319829.66;3
320916.34;3
321817.45;3
323383.35;3
324166.92;3
325007.41;3
325823;3
326591.09;3
327435.84;3
328086.81;3
328770.75;3
329414.29;3
330053.33;3
331293.55;3
332144.12;3
332798.62;3
333500.09;3
333997.56;3
334349.5;3
334543.89;3
335102.31;3
335707.51;3
336377.54;3
336867.82;3
337516.67;3
338213.5;3
338991.44;3
339983.89;3
340735.08;3
342791.56;3
343923.59;3
345000.85;3
346320.91;3
347544.81;3
349139.09;3
351676.35;3
353174.6;3
354412.98;3
355817.77;3
359010.38;3
360683.84;3
362567.6;3
365190.23;3
368065.9;3
371385.87;3
373457.62;3
375204.6;3
377034.88;3
378760.24;3
382931.49;3
384557.45;3
386283.71;3
387824.82;3
389410.21;3
392287.25;3
392977.15;3
394003.69;3
394906.1;3
398275.13;3
399926.16;3
400710.08;3
402140.92;3
402859.84;3
404313.3;3
405062.63;3
406542.8;3
407282.5;3
408818.72;3
409598.24;3
410453.8;3
411347.97;3
413258.65;3
414210.86;3
415179.59;3
415945.61;1.6
416425.32;1.2
417440.44;1.5
417956.78;1.7
418505.3;1.8
419575.78;0.8
420133.76;1.5
420701.76;1.6
421912.15;1.4
422532.65;1.8
423225.5;1.1
424507.75;2.9
425132.26;1.9
425740.91;1.1
426237.27;2.5
426621.56;2
427154.96;1.3
427941.4;0.7
428840.2;0.9
429178.36;1.5
431023.76;1.7
432179.31;2.2
433850.3;1.7
434379.07;1.3
435939.69;1.6
437485.42;1.3
439063.42;1.6
440659.58;1.6
442230.78;1.1
443844.65;1.5
445331.73;1.1
447219.18;0.9
448459.18;0.6
449571.04;1.8
450642.89;1.7
451747.28;2.1
452735.84;1.4
453775.64;1.8
454864.31;1.3
456001.61;1.6
457114.44;1
457745.13;0.6
458208.29;1
458794.01;1
459211.55;1.4
460252.21;1.3
461286.06;0.8
462414.1;1.9
463526.65;0.7
464599.47;2.6
465265.36;0.9
465601.73;0.7
466632.3;2.2
467706.64;1.9
468877.71;1.2
470040.13;0.9
470725.98;0.9
471200.79;2.3
471824.53;0.9
472263.07;1.4
472863.27;0.7
473217.82;1.8
473800.85;1.1
474092.36;0.9
474974.11;1.7
475925.2;0.6
476949.8;1.1
477941;1
478892.46;0.9
479402.95;1.2
479775.69;1
480328.3;0.7
480726.68;2.3
481662.96;1.4
482580.96;1.7
483395.38;1.3
484179.79;1.1
484936.18;1.3
485667.52;1.2
486398.67;1.4
487129.25;1.2
487848.07;1.2
488565.45;1.8
489302.09;0.2
489719.79;0.4
490026.29;2.5
490494.91;2.7
490733.95;0.6
491451.08;1.3
492154.55;1.6
492863.78;1.4
493593.11;1.9
494300.39;1.2
495024.13;2
495725.69;1.4
496444.07;1.6
497187.63;2.1
497965.98;1.7
498737.42;0.8
499526.78;0.5
500304.78;1
501083.96;1.7
501861.42;1.4
502637.64;0.8
503418.93;1.6
504177.19;1.4
504911.78;0.8
505684.24;1.1
506483.73;1.8
507312.4;2.1
508117.72;0.9
508940.98;0.8
509784.98;0.7
510652.33;1
511512.45;1.4
512363.78;0.5
513204.74;0.8
514033.12;1
514847.78;1.2
515650.78;1.3
516420.98;0.5
517154.98;2.2
517876.01;2.6
518600.46;1.1
519329.13;1.3
520073.36;1.4
520821.81;0.8
521574.47;0.7
523801.82;1.4
524570.87;0.8
525337;1.2
526107;0.7
526895.81;0.8
527698.69;0.6
528516.69;1.9
529403.43;1
530290.51;1.2
531201.38;0.5
532078.76;0.9
532592.53;0.5
532987.57;2.2
533554.37;0.6
533932.24;0.8
534668.18;0.7
535043.56;0.8
535695.05;1.7
536178.47;1.2
537334.47;0.8
538440.76;0.9
539513.82;0.7
540583.82;1.3
541653.82;0.7
542740.21;0.8
543844.87;1.2
544885.99;0.8
545864.91;1.6
546830.15;1.6
547806.68;0.8
548770.78;1.9
549720.11;1.6
550230.73;0.7
550582.55;0.9
551381.09;0.5
552111.09;0.5
552681.56;1.4
553020.92;0.9
553245.99;0.9
553619.39;1.1
553808.65;0.3
554479.62;1.1
555158.35;2.2
555842.35;1.2
556407.02;1.5
556923.29;1.4
557198.65;0.8
557385.05;2.1
557657.14;1.5
557838.21;0.8
558154.56;1.3
558306.02;0.9
558777.69;1.2
559316.01;1
559636.76;0.4
559872.62;0.7
560436.62;1.5
560965.6;0.9
561450.74;1.2
561888.07;1.2
562310.49;1.5
562655.6;0.9
563134.85;2.1
563535.74;0.5
563927.9;1.8
564310.56;0.5
564724.36;1.5
565134.3;1.7
565538.96;1.7
565895.64;1
566245.3;0.7
566588.64;0.8
566918.35;1.6
567239.49;0.7
567548.65;1.6
567884.89;0.9
568204.14;1.2
568534.24;1.1
568930.15;0.6
569314.59;0.4
569683.93;1.3
570067.25;1.3
570463.46;1.3
570862.13;1.2
571261.44;1.3
571633.36;0.5
571974.69;1.7
572315.5;1.04
572669.87;1.15
573053.52;0.68
573475.75;1.08
573913.02;0.39
574364.65;1.78
574806;0.7
575233.96;1.3
575654.53;0.98
576112.85;0.52
576599.1;1.06
577115.1;1.06
577653.85;1.13
578196.35;0.6
578742.35;0.48
579280.55;1.07
579833.12;1.8
580210.5;1.67
580401.78;0.87
580814;0.3
581118.65;0.57
581546.53;1.57
581928.3;0.81
582454.53;1.07
582836.3;1.18
583574.25;0.51
583958.8;0.64
586720.84;0.87
587171.85;1.45
587888.67;0.5
588279.35;0.98
588940.9;1.8
589425.35;0.4
590040.15;0.56
590488.8;0.76
591019.47;0.75
592383.47;1.13
592785.52;1.25
593561.25;0.28
594046.75;0.89
594863.81;1.05
595436.47;0.6
596221.56;1.77
596791.13;0.91
597803.61;1.48
598329.75;1
599218.22;1.14
599814.63;1.39
601255.15;1.3
602600.75;0.79
603949.15;1.09
605303.15;0.7
606625.91;1.68
607979.3;1.22
609247.3;1.82
610429.5;0.46
611551.01;2.11
611600.63;1.16
612761.97;1.41
613942.8;0.39
615140.6;1.06
616299.12;0.62
616356.6;0.94
617609.57;1.06
618953.75;1
620283.75;0.29
621651.45;0.81
622950.73;2.84
623054.95;0.83
624496.95;1.02
625397.92;0.35
626047.5;0.88
626969.43;0.48
627830.1;0.94
629139.62;0.77
629769.85;0.87
629866.1;0.5
631526.32;1.81
632356.94;1.51
634077.54;1.55
634881.14;1.53
635009.03;1.76
636521.56;0.66
637714.37;1.85
639418.27;0.96
640372.25;0.5
642074.6;1.05
642856.65;1.13
644300.83;1.25
645150.65;0.95
646376.95;2.02
647254.85;1
648612.42;0.74
649191.1;0.44
650348.46;1.22
650947.1;0.71
652104.26;0.54
652708.95;0.97
653730.25;1.85
654438.65;0.98
655524.35;0.53
656132.65;0.75
657181.09;0.65
657654.21;1.78
657722;0.87
658764.1;0.29
659293.82;1.06
659411.9;0.41
660463.55;0.95
661118.32;0.99
661215.9;0.77
